Review_ID,Rating,Label,Review_Text,Severity
R0001,5,Positive,Cost effective within budget. Highly professional treatment and service given by the doctor.,Medium
R0002,5,Positive,Caring is awesome and treatment is excellent. And mainly fees were low comparing to other clinics.,Medium
R0003,4,Positive,Good treatment experience. Recommended.,Medium
R0004,5,Positive,Excellent doctor and very affordable treatment.,Medium
R0005,5,Positive,Good clinic. Doctor is very kind and professional.,Medium
R0006,5,Positive,Best treatment and good advice with nominal charges. She is so patient in listening to our problems.,Medium
R0007,5,Positive,She is very patient and listened to all my complaints. Got to know some proper dental care from the doc.,Medium
R0008,5,Positive,The facilities were good and the dentist answered all the questions patiently. Highly Recommended!,Medium
R0009,5,Positive,Very professional. Most recommended. Thank you Dr. Geetha for the best treatment.,Medium
R0010,2,Pricing,Was not informed about the cost breakdown. Final bill had items I was not expecting.,High
R0011,3,Waiting Time,Doctor is excellent but time management inside the clinic needs serious improvement.,Medium
R0012,2,Staff,Staff were unfriendly and dismissive during check in process. Very unwelcoming.,High
R0013,2,Communication,No update about delay. Waited 90 minutes without any information from reception.,High
R0014,2,Pricing,Higher fees than expected with no clear breakdown provided in the bill.,High
R0015,2,Treatment,Treatment was rushed. Doctor seemed in a hurry and quality of work suffered as a result.,Critical
R0016,5,Positive,I went there for a filling and the doctor explained everything so well. Fees was cheap too.,Medium
R0017,2,Pricing,Expensive for a small clinic. Similar treatments available at much lower cost nearby.,High
R0018,5,Positive,Dr. Geetha is very well informed and very patient. She was explaining the process in every detail so that you are aware of what is happening inside your mouth. Definitely will recommend her to anyone who is in need of a helpful dentist.,Medium
R0019,3,Neutral,Okay experience overall. Doctor was professional and brief during consultation.,Low
R0020,2,Pricing,Treatment cost breakdown not shared. Felt charged arbitrarily for some procedures.,High
R0021,4,Positive,Good clinic. Doctor listened carefully before recommending any treatment.,Medium
R0022,3,Communication,Communication during visit is fine but after visit there is zero follow up from clinic.,Medium
R0023,2,Communication,No written prescription or treatment summary given after the procedure.,High
R0024,5,Positive,"Excellent, humble, subject matter expert. Certainly a doctor who cares the most about the patient. A place to go for your dental solution.",Medium
R0025,4,Staff,Dental assistant was extremely gentle during the procedure. Very professional approach.,Medium
